case_id,image_filename,image_height,image_width,strategy,tile_id,tile_name,tile_path,uses_reference,x1,x2,y1,y2
11,11.jpg,1280,720,A,11_A_grid_0_0,grid_0_0,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_0_0.jpg,False,0,447,0,794
11,11.jpg,1280,720,A,11_A_grid_0_1,grid_0_1,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_0_1.jpg,False,0,447,486,1280
11,11.jpg,1280,720,A,11_A_grid_1_0,grid_1_0,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_1_0.jpg,False,273,720,0,794
11,11.jpg,1280,720,A,11_A_grid_1_1,grid_1_1,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_1_1.jpg,False,273,720,486,1280
11,11.jpg,1280,720,B,11_B_middle_lower_strip,middle_lower_strip,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_B_middle_lower_strip.jpg,False,0,720,448,1088
11,11.jpg,1280,720,B,11_B_lower_strip,lower_strip,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_B_lower_strip.jpg,False,0,720,704,1280
11,11.jpg,1280,720,C,11_C_anchor_0,anchor_0,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_C_anchor_0.jpg,False,93,407,597,995
11,11.jpg,1280,720,D,11_D_center_broad,center_broad,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_D_center_broad.jpg,False,57,663,102,1178
14,14.jpg,450,800,A,14_A_grid_0_0,grid_0_0,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/14_A_grid_0_0.jpg,False,0,496,0,279
14,14.jpg,450,800,A,14_A_grid_0_1,grid_0_1,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/14_A_grid_0_1.jpg,False,0,496,171,450
