tile_id,case_id,image_filename,strategy,json_valid,json_error,runtime_error,detection_count,accepted_count,rejected_count,elapsed_seconds,raw_response_hash,tile_path
11_A_grid_0_0,11,11.jpg,A,True,,,0,0,0,0.852,06ec5223328ef9baf23bee2f41139677e1e71bea438b4e78fa74170aeb1738af,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_0_0.jpg
11_A_grid_0_1,11,11.jpg,A,True,,,1,0,1,3.41,116a9c89f5d750f231ddcb19d8bb58e3b49e8851496178d83ce0bc382f7ad7a9,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_0_1.jpg
11_A_grid_1_0,11,11.jpg,A,True,,,0,0,0,0.392,06ec5223328ef9baf23bee2f41139677e1e71bea438b4e78fa74170aeb1738af,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_1_0.jpg
11_A_grid_1_1,11,11.jpg,A,True,,,0,0,0,0.379,06ec5223328ef9baf23bee2f41139677e1e71bea438b4e78fa74170aeb1738af,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_A_grid_1_1.jpg
11_B_middle_lower_strip,11,11.jpg,B,True,,,1,0,1,3.369,ddd9d8bc29655fbd2193c2b9a605277b6c3d52c86d3e217b70d354d14934b127,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_B_middle_lower_strip.jpg
11_B_lower_strip,11,11.jpg,B,True,,,1,0,1,3.227,4ded63cc806e41df5921d81cae69d5805339d5299a4d503c67b24f148687f6d3,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_B_lower_strip.jpg
11_C_anchor_0,11,11.jpg,C,True,,,1,0,1,3.277,77f17b1e1625fe5aae3fb739d38a39929158a5f3467c882144b3e9bd35768716,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_C_anchor_0.jpg
11_D_center_broad,11,11.jpg,D,True,,,1,0,1,3.035,62a79db33aac58cd29eab53b4ad3ae6f242fffe44fe18310c775764f92ac9c69,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/11_D_center_broad.jpg
14_A_grid_0_0,14,14.jpg,A,True,,,1,0,1,3.278,21a27a368ab8434cd3a794881cba0918c423b735fe4860fb0dbf111ce4a28a8a,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/14_A_grid_0_0.jpg
14_A_grid_0_1,14,14.jpg,A,True,,,1,0,1,4.353,c553f85f59a72ec1f43c9bce6092cd12db7d620bae86f25c35c8649ea609ceb6,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v050_fp8_non_oracle_tiling_crop_recovery/tile_outputs/local_only_tiles/14_A_grid_0_1.jpg
